AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT I,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
State,Hawaii,All,2023-24,12,,3.9,4.7,0,9,2,11,233,> 100%
State,Hawaii,All,2023-24,13,,9.7,10,0,26,1,27,269,> 100%
State,Hawaii,All,2023-24,14,,5.7,6.1,1,13,4,15,245,> 100%
State,Hawaii,All,2023-24,15,,9.8,10.2,0,20,1,21,205,> 100%
State,Hawaii,All,2023-24,16,,5.4,5.4,0,14,0,14,261,> 100%
State,Hawaii,All,2023-24,17,,5.8,5.8,0,13,1,13,225,> 100%
State,Hawaii,All,2023-24,18,,5.2,5.6,0,13,1,14,250,> 100%
State,Hawaii,All,2023-24,19,,8.4,8.8,0,19,3,20,226,> 100%
State,Hawaii,All,2023-24,20,,6.8,6.8,1,16,2,17,251,> 100%
State,Hawaii,All,2023-24,21,,7.6,9,0,17,6,20,223,> 100%
State,Hawaii,All,2023-24,22,,5.2,5.6,1,10,3,12,213,> 100%
State,Hawaii,All,2023-24,23,,6.4,8.5,2,13,5,20,234,> 100%
State,Hawaii,All,2023-24,24,,3.1,7.1,0,7,11,16,225,> 100%
State,Hawaii,All,2023-24,25,,10.3,12,1,24,10,29,242,> 100%
State,Hawaii,All,2023-24,26,,4.9,8.7,0,13,13,23,263,> 100%
State,Hawaii,All,2023-24,27,,10.4,13.1,3,27,12,38,289,> 100%
State,Hawaii,All,2023-24,28,,7.5,8.7,2,17,3,22,254,> 100%
State,Hawaii,All,2023-24,29,,5.7,6.8,1,14,6,18,265,> 100%
State,Hawaii,All,2023-24,30,,7.6,10.8,0,19,15,27,250,> 100%
State,Hawaii,All,2023-24,31,,11.6,12.8,6,24,9,33,258,> 100%
State,Hawaii,All,2023-24,32,,5.4,7.2,0,12,5,16,221,> 100%
State,Hawaii,All,2023-24,33,,8.6,10.5,0,23,10,28,267,> 100%
State,Hawaii,All,2023-24,34,,7.7,8.9,0,20,8,23,259,> 100%
State,Hawaii,All,2023-24,35,,6.9,8.2,0,17,7,20,245,> 100%
State,Hawaii,All,2023-24,36,,7.6,8.9,0,17,4,20,225,> 100%
State,Hawaii,All,2023-24,37,,5,6.8,0,11,7,15,222,> 100%
State,Hawaii,All,2023-24,38,,5.9,7.2,0,13,4,16,221,> 100%
State,Hawaii,All,2023-24,39,,7.1,8,1,15,2,18,226,> 100%
State,Idaho,All,2023-24,40,,4.8,5.1,0,15,3,16,314,> 100%
State,Idaho,All,2023-24,41,,5.6,7.1,0,18,7,23,324,> 100%
State,Idaho,All,2023-24,42,,6.2,8.1,1,18,10,25,307,> 100%
State,Idaho,All,2023-24,43,,4.1,6.5,0,14,11,22,339,> 100%
State,Idaho,All,2023-24,44,,4.6,5.5,0,16,6,19,348,> 100%
State,Idaho,All,2023-24,45,,5.4,7.6,0,17,12,24,317,> 100%
State,Idaho,All,2023-24,46,,3.2,4.3,0,11,5,15,347,> 100%
State,Idaho,All,2023-24,47,,3.8,5.2,2,9,5,15,290,> 100%
State,Idaho,All,2023-24,48,,2,5,0,6,9,15,303,> 100%
State,Idaho,All,2023-24,49,,4.2,6.4,2,13,11,23,357,> 100%
State,Idaho,All,2023-24,50,,4.6,7.2,1,15,10,25,349,> 100%
State,Idaho,All,2023-24,51,,5,6.4,3,14,6,22,343,> 100%
State,Idaho,All,2023-24,52,,6.4,8.4,2,18,12,26,311,> 100%
State,Idaho,All,2023-24,1,,6.9,7.9,4,22,8,30,379,> 100%
State,Idaho,All,2023-24,2,,5.7,7.4,7,13,8,26,351,> 100%
State,Idaho,All,2023-24,3,,6.8,8.9,3,20,12,30,338,> 100%
State,Idaho,All,2023-24,4,,5.3,7.4,2,16,11,25,340,> 100%
State,Idaho,All,2023-24,5,,3.4,7.5,2,9,13,24,322,> 100%
State,Idaho,All,2023-24,6,,7,8.5,1,23,9,29,342,> 100%
State,Idaho,All,2023-24,7,,4.2,5.1,1,12,5,16,311,> 100%
State,Idaho,All,2023-24,8,,4.9,5.5,2,13,2,17,307,> 100%
State,Idaho,All,2023-24,9,,4.6,5.2,4,11,3,17,327,> 100%
State,Idaho,All,2023-24,10,,4.9,6.3,4,13,8,22,347,> 100%
State,Idaho,All,2023-24,11,,3.7,5.5,0,12,7,18,325,> 100%
State,Idaho,All,2023-24,12,,5.5,6.1,2,14,5,18,293,> 100%
State,Idaho,All,2023-24,13,,2.8,4.4,0,9,8,14,318,> 100%
State,Idaho,All,2023-24,14,,3.6,3.6,1,10,0,11,306,> 100%
State,Idaho,All,2023-24,15,,3.6,4.2,1,10,5,13,306,> 100%
